core1_stage2_wait,core1_stage3_wait,core2_stage3_wait,core3_stage3_wait,official_pass,random_pass,cnt_test,verify_write_count,last_verify_addr,last_writer_core,conclusion
68,23,100,88,NO,NO,72,16,12,Core0,OFFICIAL_OR_TRACE_FAIL
68,23,100,90,NO,NO,72,16,12,Core0,OFFICIAL_OR_TRACE_FAIL
68,23,100,92,NO,NO,72,16,12,Core0,OFFICIAL_OR_TRACE_FAIL
68,23,100,94,NO,NO,72,16,12,Core0,OFFICIAL_OR_TRACE_FAIL
68,23,104,88,NO,NO,72,16,12,Core0,OFFICIAL_OR_TRACE_FAIL
68,23,104,90,NO,NO,72,16,12,Core0,OFFICIAL_OR_TRACE_FAIL
68,23,104,92,NO,NO,72,16,12,Core0,OFFICIAL_OR_TRACE_FAIL
68,23,104,94,NO,NO,72,16,12,Core0,OFFICIAL_OR_TRACE_FAIL
68,23,108,88,YES,YES,72,16,12,Core0,PASS_BEATS_V45
68,23,108,90,YES,YES,72,16,12,Core0,PASS_BEATS_V45
68,23,108,92,YES,YES,72,16,12,Core0,PASS_BEATS_V45
68,23,108,94,YES,YES,72,16,12,Core0,PASS_BEATS_V45
68,23,112,88,YES,YES,73,16,14,Core2,PASS_BEATS_V45
68,23,112,90,YES,YES,73,16,14,Core2,PASS_BEATS_V45
68,23,112,92,YES,YES,73,16,14,Core2,PASS_BEATS_V45
68,23,112,94,YES,YES,73,16,14,Core2,PASS_BEATS_V45
