core,instruction_count,opcode,count
core0,39,ADD,16
core0,39,HALT,1
core0,39,LDR,16
core0,39,MOVI,4
core0,39,STR,2
core1,50,ADD,9
core1,50,HALT,1
core1,50,LDR,16
core1,50,MOVI,7
core1,50,MUL,2
core1,50,STR,2
core1,50,SUB,13
core2,39,ADD,12
core2,39,HALT,1
core2,39,LDR,16
core2,39,MOVI,4
core2,39,STR,2
core2,39,SUB,4
core3,50,ADD,9
core3,50,HALT,1
core3,50,LDR,16
core3,50,MOVI,7
core3,50,MUL,2
core3,50,STR,2
core3,50,SUB,13
core4,39,ADD,12
core4,39,HALT,1
core4,39,LDR,16
core4,39,MOVI,4
core4,39,STR,2
core4,39,SUB,4
core5,50,ADD,9
core5,50,HALT,1
core5,50,LDR,16
core5,50,MOVI,7
core5,50,MUL,2
core5,50,STR,2
core5,50,SUB,13
core6,39,ADD,12
core6,39,HALT,1
core6,39,LDR,16
core6,39,MOVI,4
core6,39,STR,2
core6,39,SUB,4
core7,50,ADD,9
core7,50,HALT,1
core7,50,LDR,16
core7,50,MOVI,7
core7,50,MUL,2
core7,50,STR,2
core7,50,SUB,13
ALL,356,TOTAL,356
