cycle,core_id,input_addr,input_data
5,0,128,fff3
5,1,128,fff3
5,2,128,fff3
5,3,128,fff3
5,4,128,fff3
5,5,128,fff3
5,6,128,fff3
5,7,128,fff3
5,8,128,fff3
5,9,128,fff3
5,10,128,fff3
5,11,128,fff3
5,12,128,fff3
5,13,128,fff3
5,14,128,fff3
5,15,128,fff3
6,0,136,001b
6,1,136,001b
6,2,136,001b
6,3,136,001b
6,4,136,001b
6,5,136,001b
6,6,136,001b
6,7,136,001b
6,8,136,001b
6,9,136,001b
6,10,136,001b
6,11,136,001b
6,12,136,001b
6,13,136,001b
6,14,136,001b
6,15,136,001b
7,0,132,fff7
7,1,132,fff7
7,2,132,fff7
7,3,132,fff7
7,4,132,fff7
7,5,132,fff7
7,6,132,fff7
7,7,132,fff7
7,8,132,fff7
7,9,132,fff7
7,10,132,fff7
7,11,132,fff7
7,12,132,fff7
7,13,132,fff7
7,14,132,fff7
7,15,132,fff7
8,0,140,0000
8,1,140,0000
8,2,140,0000
8,3,140,0000
8,4,140,0000
8,5,140,0000
8,6,140,0000
8,7,140,0000
8,8,140,0000
8,9,140,0000
8,10,140,0000
8,11,140,0000
8,12,140,0000
8,13,140,0000
8,14,140,0000
8,15,140,0000
12,0,129,ffe3
12,1,129,ffe3
12,2,129,ffe3
12,3,129,ffe3
12,4,129,ffe3
12,5,129,ffe3
12,6,129,ffe3
12,7,129,ffe3
12,8,129,ffe3
12,9,129,ffe3
12,10,129,ffe3
12,11,129,ffe3
12,12,129,ffe3
12,13,129,ffe3
12,14,129,ffe3
12,15,129,ffe3
13,0,137,fff7
13,1,137,fff7
13,2,137,fff7
13,3,137,fff7
13,4,137,fff7
13,5,137,fff7
13,6,137,fff7
13,7,137,fff7
13,8,137,fff7
13,9,137,fff7
13,10,137,fff7
13,11,137,fff7
13,12,137,fff7
13,13,137,fff7
13,14,137,fff7
13,15,137,fff7
14,0,133,001b
14,1,133,001b
14,2,133,001b
14,3,133,001b
14,4,133,001b
14,5,133,001b
14,6,133,001b
14,7,133,001b
14,8,133,001b
14,9,133,001b
14,10,133,001b
14,11,133,001b
14,12,133,001b
14,13,133,001b
14,14,133,001b
14,15,133,001b
15,0,141,0012
15,1,141,0012
15,2,141,0012
15,3,141,0012
15,4,141,0012
15,5,141,0012
15,6,141,0012
15,7,141,0012
15,8,141,0012
15,9,141,0012
15,10,141,0012
15,11,141,0012
15,12,141,0012
15,13,141,0012
15,14,141,0012
15,15,141,0012
19,0,130,ffe3
19,2,130,ffe3
19,4,130,ffe3
19,6,130,ffe3
19,8,130,ffe3
19,10,130,ffe3
19,12,130,ffe3
19,14,130,ffe3
20,0,138,ffee
20,1,130,ffe3
20,2,138,ffee
20,3,130,ffe3
20,4,138,ffee
20,5,130,ffe3
20,6,138,ffee
20,7,130,ffe3
20,8,138,ffee
20,9,130,ffe3
20,10,138,ffee
20,11,130,ffe3
20,12,138,ffee
20,13,130,ffe3
20,14,138,ffee
20,15,130,ffe3
21,0,134,0006
21,1,138,ffee
21,2,134,0006
21,3,138,ffee
21,4,134,0006
21,5,138,ffee
21,6,134,0006
21,7,138,ffee
21,8,134,0006
21,9,138,ffee
21,10,134,0006
21,11,138,ffee
21,12,134,0006
21,13,138,ffee
21,14,134,0006
21,15,138,ffee
22,0,142,ffeb
22,1,134,0006
22,2,142,ffeb
22,3,134,0006
22,4,142,ffeb
22,5,134,0006
22,6,142,ffeb
22,7,134,0006
22,8,142,ffeb
22,9,134,0006
22,10,142,ffeb
22,11,134,0006
22,12,142,ffeb
22,13,134,0006
22,14,142,ffeb
22,15,134,0006
23,1,142,ffeb
23,3,142,ffeb
23,5,142,ffeb
23,7,142,ffeb
23,9,142,ffeb
23,11,142,ffeb
23,13,142,ffeb
23,15,142,ffeb
26,0,131,0000
26,2,131,0000
26,4,131,0000
26,6,131,0000
26,8,131,0000
26,10,131,0000
26,12,131,0000
26,14,131,0000
27,0,139,ffe9
27,1,131,0000
27,2,139,ffe9
27,3,131,0000
27,4,139,ffe9
27,5,131,0000
27,6,139,ffe9
27,7,131,0000
27,8,139,ffe9
27,9,131,0000
27,10,139,ffe9
27,11,131,0000
27,12,139,ffe9
27,13,131,0000
27,14,139,ffe9
27,15,131,0000
28,0,135,0014
28,1,139,ffe9
28,2,135,0014
28,3,139,ffe9
28,4,135,0014
28,5,139,ffe9
28,6,135,0014
28,7,139,ffe9
28,8,135,0014
28,9,139,ffe9
28,10,135,0014
28,11,139,ffe9
28,12,135,0014
28,13,139,ffe9
28,14,135,0014
28,15,139,ffe9
29,0,143,ffec
29,1,135,0014
29,2,143,ffec
29,3,135,0014
29,4,143,ffec
29,5,135,0014
29,6,143,ffec
29,7,135,0014
29,8,143,ffec
29,9,135,0014
29,10,143,ffec
29,11,135,0014
29,12,143,ffec
29,13,135,0014
29,14,143,ffec
29,15,135,0014
30,1,143,ffec
30,3,143,ffec
30,5,143,ffec
30,7,143,ffec
30,9,143,ffec
30,11,143,ffec
30,13,143,ffec
30,15,143,ffec
